,Census Year,Total Population,Census Cost,Average Cost Per Person
0,1790,3929214,44377,0.0113
1,1800,5308483,66109,0.0124
2,1810,7239881,178445,0.0246
3,1820,9633822,208526,0.0216
4,1830,12866020,378545,0.0294
5,1840,17069458,833371,0.048799999999999996
6,1850,23191876,1423351,0.061399999999999996
7,1860,31443321,1969377,0.0626
8,1870,38558371,3421198,0.08869999999999999
9,1880,50155783,5790678,0.11539999999999999
10,1890,62979766,11547127,0.1833
11,1900,76303387,11854000,0.15539999999999998
12,1910,91972266,15968000,0.1707
13,1920,105710620,25117000,0.2376
14,1930,122775046,40156000,0.3271
15,1940,131669275,67527000,0.5129
16,1950,151325798,91462000,0.6043999999999999
17,1960,179323175,127934000,0.7134
18,1970,203302031,247653000,1.22
19,1980,226542199,1078488000,4.76
20,1990,248718301,2492830000,10.02
21,2000,281421906,4.5000000000,15.99
22,2010,30874553,13000000000,42.11
