STABBR,UNITID,CITY,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
MD,161651,Gaithersburg,20877,,25.0,,
MD,161688,Cumberland,21502-2596,,1990.0,3940.0,
MD,161767,Arnold,21012-1895,,11294.0,4646.0,
MD,161776,Towson,21286-2201,,309.0,,
MD,161800,Hagerstown,21740-5610,,157.0,,
MD,161855,Baltimore,21201-3444,,46.0,,
MD,161864,Baltimore,21215-7893,,3797.0,3074.0,
MD,161873,Baltimore,21201-5720,0.8099,2856.0,8824.0,
MD,162007,Bowie,20715-9465,0.36,5107.0,8064.0,
MD,162061,Laurel,20708,0.7473,421.0,24788.0,
MD,162104,North East,21901-1900,,2112.0,4005.0,
MD,162122,La Plata,20646-0910,,6699.0,3690.0,
MD,162168,Wye Mills,21679-0008,,1744.0,3818.0,
MD,162210,Takoma Park,20912,0.6139,750.0,23400.0,
MD,162283,Baltimore,21216-3698,0.3651,2459.0,7474.0,
MD,162335,Salisbury,21804-6952,,51.0,,
MD,162371,Baltimore,21244,,448.0,,
MD,162557,Frederick,21702-2964,,4830.0,3520.0,
MD,162584,Frostburg,21532-1099,0.7229,4486.0,8914.0,
MD,162609,McHenry,21541,,532.0,3948.0,
MD,162654,Baltimore,21204-2794,0.7884,1526.0,43440.0,
MD,162681,Hagerstown,21742,,470.0,14263.0,
MD,162690,Hagerstown,21742-6514,,3181.0,3616.0,
MD,162706,Bel Air,21015-1698,,5018.0,3643.0,
MD,162760,Frederick,21701,0.8113,1108.0,37960.0,
MD,162779,Columbia,21044-3197,,8943.0,3888.0,
MD,162830,Bel Air,21014-3639,,37.0,,
MD,162928,Baltimore,21218-2688,0.1254,5663.0,52170.0,
MD,163028,Columbia,21046,,569.0,,
MD,163046,Baltimore,21210-2699,0.7528,3903.0,47560.0,
MD,163204,Adelphi,20783-8010,,42289.0,7296.0,
MD,163259,Baltimore,21201-1627,,918.0,,
MD,163268,Baltimore,21250,0.6021,11130.0,11518.0,
MD,163286,College Park,20742,0.445,29273.0,10399.0,
MD,163295,Baltimore,21217-4134,0.6161,1743.0,46990.0,
MD,163338,Princess Anne,21853-1299,0.3901,2799.0,8042.0,
MD,163347,Towson,21204-9840,,412.0,,
MD,163408,Silver Spring,20901,,120.0,,
MD,163426,Rockville,20850,,18915.0,4974.0,
MD,163453,Baltimore,21251-0001,0.6372,6426.0,7766.0,
MD,163462,Emmitsburg,21727-7799,0.6423,1785.0,40550.0,
MD,163532,Baltimore,21208,0.6418,265.0,11900.0,
MD,163541,New Carrollton,20784,,447.0,,
MD,163578,Baltimore,21210-2476,0.714,808.0,36070.0,
MD,163657,Largo,20774-2199,,10743.0,3770.0,
MD,163736,Baltimore,21227-1063,,452.0,,
MD,163754,Timonium,21093,,26.0,,
MD,163815,Baltimore,21224,,80.0,,
MD,163851,Salisbury,21801-6862,0.6502,7552.0,9582.0,
MD,163912,St. Mary's City,20686,0.8242,1519.0,14496.0,
MD,163976,Annapolis,21401,0.5445,458.0,51795.0,
MD,164058,Beltsville,20705,,529.0,,
MD,164076,Towson,21252-0001,0.773,19367.0,9694.0,
MD,164085,Laurel,20723,,,,
MD,164155,Annapolis,21402-5000,0.0844,4495.0,,
MD,164173,Stevenson,21153-0641,0.6087,3375.0,35490.0,
MD,164216,Chestertown,21620-1438,0.5871,1449.0,44820.0,
MD,164270,Westminster,21157,0.85,1559.0,41800.0,
MD,164313,Salisbury,21804-7131,,2652.0,3000.0,
MD,212452,Baltimore,21212-2624,1.0,66.0,5870.0,
MD,366438,California,20619,,72.0,,
MD,373784,Baltimore,21224,,561.0,,
MD,405872,Westminster,21157,,2559.0,3907.0,
MD,430184,Suitland,20746,,2286.0,13857.0,
MD,434308,Linthicum,21090,,458.0,,
MD,434672,Baltimore,21237,,17614.0,4022.0,
MD,434937,Silver  Spring,20902,,25.0,10000.0,
MD,434973,Columbia,21045-5423,,29.0,,
MD,436030,Hillcrest Heights,20748-1401,,234.0,,
MD,444291,Owings Mills,21117,,93.0,,
MD,446394,Capitol Heights,20743,,36.0,,
MD,447971,Rockville,20852,,103.0,,
MD,450076,Baltimore,21244,,87.0,,
MD,451909,Landover,20785-2223,,550.0,14335.0,
MD,455017,Frederick,21701,,23.0,,
MD,455026,Rockville,20852,,103.0,,
MD,455901,Frederick,21701,,183.0,,
MD,461379,Baltimore,21218,,59.0,,
MD,476601,Baltimore,21209-1613,1.0,76.0,12700.0,
MD,480310,Glen Burnie,21061,,112.0,,
MD,480693,Silver Spring,20906-4503,,95.0,,
MD,480994,Laurel,20724,,59.0,,
MD,481207,Hunt Valley,21031-1408,,83.0,15150.0,
MD,482103,FREDERICK,21703-3030,,32.0,,
MD,487676,Annapolis,21401-3833,,176.0,,
MD,12697901,Landover,207852414,,,,
MD,16210401,Elkton,219215535,,,4005.0,
MD,43018401,Rockville,20850,,,13857.0,
MD,43018402,Millersville,21108,,,13857.0,
MD,43018403,Baltimore,21236,,,13857.0,
MD,43018404,Owings Mills,21117,,,13857.0,
DC,131159,Washington,20016-8001,0.294,7433.0,46615.0,
DC,131283,Washington,20064,0.8258,3284.0,44060.0,
DC,131399,Washington,20008,,3606.0,5756.0,
DC,131405,Washington,20017-1585,,,,
DC,131450,Washington,20002-3695,0.5901,1111.0,16558.0,
DC,131469,Washington,20052,0.4098,11718.0,53518.0,
DC,131496,Washington,20057-0001,0.1568,7128.0,52300.0,
DC,131520,Washington,20059-0001,0.4142,6276.0,25697.0,
DC,131803,Washington,20005,,687.0,13857.0,
DC,131830,Washington,20007,1.0,32.0,9900.0,
DC,131876,Washington,20017-1094,0.9228,1498.0,23690.0,
DC,131973,Washington,20016-5690,,,,
DC,363721,Washington,20008,,,,
DC,384412,Washington,20005,,65.0,13884.0,
DC,420370,Washington,20005,,387.0,,
DC,439473,Washington,20017,,312.0,,
DC,444893,Washington,20006-5540,,172.0,,
DC,450483,Washington,20001-1431,,70.0,9960.0,
DC,455804,Washington,20036,,,,
DC,455813,Washington,20064,,,,
DC,459745,Washington,20005,,,,
DC,459994,Washington,20005,,5543.0,13857.0,
DC,13180301,Washington,20012,,,13857.0,
DC,47503313,Washington,20002,,,,
PA,210474,Hazleton,18201,,61.0,,
PA,210492,Bryn Athyn,19009-0711,0.8755,323.0,21126.0,
PA,210508,Philadelphia,19103-6685,,,,
PA,210571,Reading,19612-5234,0.5004,1999.0,43454.0,
PA,210599,Essington,19029,,306.0,,
PA,210605,Pittsburgh,15233-1895,,14804.0,4198.0,
PA,210669,Meadville,16335-3902,0.6789,1764.0,45970.0,
